Pre-scan folder lookup dari '03_photos_export'...
  743 unique identifiers, 819 folder.
  [OK] BTP JAK\SINYAL\UB102 BJD-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\UB102 CLT-BOO/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\UB103 CLT-BOO/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\UB104 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\UB105 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\UB106 CLT-BOO/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\UB110 CLT-BOO/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\UB202 BOO-CLT/date.txt -> Minggu, Jan 12 2025 (filename)
  [OK] BTP JAK\SINYAL\UB205 CLT-BJD/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\UB206 BOO-CLT/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\UB206 BOO-CLT/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\UB206 CLT-BJD/date.txt -> Selasa, Jan 14 2025 (filename)
  [OK] BTP JAK\SINYAL\UB208 BOO-CLT/date.txt -> Jumat, Jan 10 2025 (filename)
  [OK] BTP JAK\SINYAL\UB209 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\UB210 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\UB211 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\SINYAL\UB212 BOO-CLT/date.txt -> Rabu, Jan 08 2025 (filename)
  [OK] BTP JAK\WESEL\W11 CLT_05-01/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP JAK\WESEL\W11 CLT_17-01/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP JAK\WESEL\W11 CLT_05-01/date.txt -> Jumat, Jan 17 2025 (filename)
  [OK] BTP JAK\WESEL\W11 CLT_17-01/date.txt -> Jumat, Jan 17 2025 (filename)
  [OK] BTP JAK\WESEL\W11 MSG_06-01/date.txt -> Minggu, Jan 05 2025 (filename)
  [OK] BTP JAK\WESEL\W11 MSG_21-01/date.txt -> Minggu, Jan 05 2025 (filename)
  [OK] BTP JAK\WESEL\W11 MSG_06-01/date.txt -> Jumat, Jan 24 2025 (filename)
  [OK] BTP JAK\WESEL\W11 MSG_21-01/date.txt -> Jumat, Jan 24 2025 (filename)
  [OK] BTP JAK\WESEL\W13 BOO_03-01/date.txt -> Kamis, Jan 02 2025 (filename)
  [OK] BTP JAK\WESEL\W13 BOO_16-01/date.txt -> Kamis, Jan 02 2025 (filename)
  [OK] BTP JAK\WESEL\W13 BOO_03-01/date.txt -> Kamis, Jan 16 2025 (filename)
  [OK] BTP JAK\WESEL\W13 BOO_16-01/date.txt -> Kamis, Jan 16 2025 (filename)
  [OK] BTP JAK\WESEL\W13 CLT_05-01/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP JAK\WESEL\W13 CLT_17-01/date.txt -> Jumat, Jan 03 2025 (filename)
  [OK] BTP JAK\WESEL\W13 CLT_05-01/date.txt -> Jumat, Jan 17 2025 (filename)
  [OK] BTP JAK\WESEL\W13 CLT_17-01/date.txt -> Jumat, Jan 17 2025 (filename)
